version,1
codebook_name,mixed_125MHD4_263MHD2
bit_names,RS0109_cy5,RS0175_cy5,RS0237_cy5,RS0307_cy5,RS0332_cy5,RS0384_atto565,RS0406_atto565,RS0451_atto565,RS0468_atto565,RS0548_atto565,RS64.0_atto565,RS156.0_alexa488,RS278.0_alexa488,RS313.0_alexa488,RS643.0_alexa488,RS740.0_alexa488,RS810.0_alexa488,RSN9927.0_cy5,RSN2336.0_cy5,RSN1807.0_cy5,RSN4287.0_atto565,RSN1252.0_atto565,RSN9535.0_atto565
name, id, barcode
PLCG2,ENST00000564138,000010000000001011000000
PLCH1,ENST00000460012,000010000000010001000001
PLCH2,ENST00000378486,000010000000011100000000
PLCXD1,ENST00000399012,000010000000100000001001
PLPP1,ENST00000307259,000010000000101000000100
PLPP2,ENST00000434325,000010000001000001000100
PLPP5,ENST00000531823,000010000001100000100000
PLPP6,ENST00000381883,000010000010000000001010
SYNJ1,ENST00000630077,000010000010000100000100
SYNJ2,ENST00000355585,000010000010001000100000
SYNJ2BP,ENST00000256366,000010000010100010000000
CD24,ENST00000619133,000010000011000000010000
CD44,ENST00000263398,000010000100001000001000
EPCAM,ENST00000263735,000010000100010000100000
ITGA6,ENST00000442250,000010000100100000000010
KRT14,ENST00000167586,000010000110000001000000
KRT17,ENST00000311208,000010001000000000100100
KRT5,ENST00000252242,000010001000000100000010
GNA11,ENST00000078429,000010001001001000000000
GNA15,ENST00000262958,000010001100000000000001
GNAQ,ENST00000286548,000010010000000000010001
P2RX4,ENST00000337233,000010010000000100001000
P2RX5,ENST00000345901,000010010001000000000010
ADCY1,ENST00000297323,000010010100000010000000
,ENST00000338316,000010011000010000000000
ADCY3,ENST00000405392,000010100000000000010100
ADCY4,ENST00000310677,000010100000001000000001
ADCY7,ENST00000254235,000010100000010000000010
,ENST00000286355,000010100000100001000000
ADCY9,ENST00000294016,000010100001000100000000
ADORA2B,ENST00000304222,000010101000000000001000
ADRA1A,ENST00000380573,000010110010000000000000
ADRA1B,ENST00000306675,000011000000000000000101
ADRA1D,ENST00000379453,000011000000000001001000
ADRB1,ENST00000369295,000011000001010000000000
ADRB2,ENST00000305988,000011000100000100000000
ADRB3,ENST00000345060,000011001000000000010000
,ENST00000497524,000011010000100000000000
APH1B,ENST00000261879,000011100000000010000000
ATP2A3,ENST00000309890,000100000000000000111000
ATP2B2,ENST00000360273,000100000000000001100001
ATP2B3,ENST00000370186,000100000000000010001001
ATP2C2,ENST00000416219,000100000000000011000010
,ENST00000299178,000100000000000101000100
AVPR1B,ENST00000367126,000100000000001000100100
BDKRB1,ENST00000216629,000100000000011000000001
BDKRB2,ENST00000554311,000100000000100010000100
BEST2,ENST00000549706,000100000000101000000010
BEST3,ENST00000330891,000100000001000000010010
BEST4,ENST00000372207,000100000001001001000000
CABP1,ENST00000453000,000100000001010100000000
CABP2,ENST00000636477,000100000010000000000101
